name,label,description,mandatory,format,codeList,topic,population,collectionEvent
dxafmage,Age at DXA fat mass measurement (0 and <1 month),,false,continuous,,,,month
dxafmmes,Device used to measure DXA fat mass (0 and <1 month),,false,boolean,,,,month
dxalm,Child's whole-body DXA lean mass (0 and <1 month),,false,continuous,,,,month
dxalmage,Age at DXA lean mass measurement (0 and <1 month),,false,continuous,,,,month
dxalmmes,Device used to measure DXA lean mass (0 and <1 month),,false,boolean,,,,month
eczema,Doctor diagnosis of eczema within one year of birth (child aged between >-1 year and <1 year),"Where data are available, eczema should be obtained by ISAAC questionnaires. If this is not the case, the variabele is partially harmonized",false,boolean,,child_healthchar_skin_eczema,,year
eczema_ever,Ever doctor-diagnosis of eczema,"Where data are available, eczema should be obtained by ISAAC questionnaires. If this is not the case, the variabele is partially harmonized",false,boolean,,child_healthchar_skin_eczema,,baseline
eczema_m,Maternal history of eczema before pregnancy (of index child),"Mothers who were asked whether their asthma was diagnosed by a doctor but who did not know or were unsure, should be coded as missing.",false,boolean,,matchar_healthchar_respallergyskin,,baseline
ed_m,Maternal any eating disorder active from ≥0 to 1 year.,"Maternal any eating disorder active from ≥0 to 1 year: self-reported or registry-based. If both sources of information are available, consider registry-based disorders.
Partial harmonization includes:
- Standardized questionnaires/criteria that refer to the period after pregnancy;
- Maternal report of eating disorders active after pregnancy with no specification on whether it is doctor-diagnosed or not.
- If “any eating disorder” is not available, but only for example, anorexia nervosa and bulimia nervosa, these can be included as “any” eating disorder, and labelled as “partial harmonization”.
Please specify how this variable was created, and whether the disorder was assessed through medical records or self-reported.",false,boolean,,matchar_healthchar_matpsychdis_ed,,year
edu_f1,Primary father figure's education level (age >-1 year and <1 year),"Primary father figure's level of education based on the highest on-going or completed education within one year of birth. If more than one education level is reported within the defined time frame, use highest recorded education level.

Classification according to International Standard Classification of Education 97/2011 (ISCED-97/2011)

High: Short cycle tertiary, Bachelor, Masters, Doctoral  or equivalent (ISCED-2011: 5-8, ISCED-97: 5-6)

Medium: Upper secondary, Post-secondary non-tertiary (ISCED-2011: 3-4, ISCED-97: 3-4)

Low: No education; early childhood; pre-primary; primary; lower secondary or second stage of basic education.   (ISCED-2011: 0-2, ISCED-97: 0-2) 

Mapping tools for specific countries can be found here: http://uis.unesco.org/en/isced-mappings",false,categorical,edu_f1_options,aaaacyy2zzopf6qwh3nxvnaaae,,week
edu_f2,Secondary father figure's education level (age >-1 year and <1 year),"Secondary father figure's level of education based on the highest on-going or completed education within one year of birth. If more than one education level is reported within the defined time frame, use highest recorded education level.

Classification according to International Standard Classification of Education 97/2011 (ISCED-97/2011)

High: Short cycle tertiary, Bachelor, Masters, Doctoral  or equivalent (ISCED-2011: 5-8, ISCED-97: 5-6)

Medium: Upper secondary, Post-secondary non-tertiary (ISCED-2011: 3-4, ISCED-97: 3-4)

Low: No education; early childhood; pre-Secondary; Secondary; lower secondary or second stage of basic education.   (ISCED-2011: 0-2, ISCED-97: 0-2) 

Mapping tools for specific countries can be found here: http://uis.unesco.org/en/isced-mappings",false,categorical,edu_f2_options,aaaacyy2zzopf6qwh3nxvnaaae,,week
edu_m,Mother's education level (between >-1 year and <1 year),"Level of education based on the highest on-going or completed education when the child was 0 year (between >-1 year and <1 year). If more than one education level is reported within the defined time frame, use highest recorded education level.

Classification according to International Standard Classification of Education 97/2011 (ISCED-97/2011)

High: Short cycle tertiary, Bachelor, Masters, Doctoral  or equivalent (ISCED-2011: 5-8, ISCED-97: 5-6)

Medium: Upper secondary, Post-secondary non-tertiary (ISCED-2011: 3-4, ISCED-97: 3-4)

Low: No education; early childhood; pre-primary; primary; lower secondary or second stage of basic education.   (ISCED-2011: 0-2, ISCED-97: 0-2) 

Mapping tools for specific countries can be found here: http://uis.unesco.org/en/isced-mappings",false,categorical,edu_m_options,aaaaczocdgl636qwhycgrlaaae,,year
egg_pgn,Egg and egg products  during pregnancy,Based on Eurocode 2 Food Coding System,false,continuous,,aaaac4cyara376qwhza7xqiaae,,baseline
egg_psc,Egg and egg products in preschool age (2-4 years),,false,continuous,,aaaac4cyeeamt6qwhza7xqiaam,,baseline
egg_sch,Egg and egg products in school-age children (5-8 years),,false,continuous,,aaaac4cyeuhdp6qwhza7xqiaae,,baseline
ethn1_m,(Ethnic) background of mother based on country of origin (of parents),"Western countries include European Union, Andorra, Australia, Canada, Iceland, Liechtenstein, Monaco, New Zealand, Norway, San Marino, Switzerland, USA and Vatican City. Non-western countries include all other countries.",false,categorical,ethn1_m_options,aaaacyy2x7ycp6qwh3nxvnaaae,,baseline
ethn1_p,Father's (ethnic) background based on country of origin (of father's parents),"Western countries include European Union, Andorra, Australia, Canada, Iceland, Liechtenstein, Monaco, New Zealand, Norway, San Marino, Switzerland, USA and Vatican City. Non-western countries include all other countries.",false,categorical,ethn1_p_options,aaaacyy2z3sdh6qwh3nxvnaaae,,baseline
ethn2_m,Ethnic background of mother based on colour,,false,categorical,ethn2_m_options,aaaacyy2x7ycp6qwh3nxvnaaae,,baseline
ethn2_p,Father's ethnic background based on colour,,false,categorical,ethn2_p_options,aaaacyy2z3sdh6qwh3nxvnaaae,,baseline
ethn3_m,Best estimate of mother's ethnic background,Best estimate of mother's ethnic background based on ethn1_m or ethn2_m and cohort's own discretion.,false,categorical,ethn3_m_options,aaaacyy2x7ycp6qwh3nxvnaaae,,baseline
ethn3_p,Best estimate of father's ethnic background,Best estimate of father's ethnic background based on ethn1_p or ethn2_p and cohort's own discretion.,false,categorical,ethn3_p_options,aaaacyy2z3sdh6qwh3nxvnaaae,,baseline
ethn_p_fath,"Type of father, paternal ethnicity","Variable indicating whether the ethnicities recorded in variables ethn1_p, ethn2_p, ethn3_p are for the biological father, the social father/mother or whether this is unknown",false,categorical,ethn_p_fath_options,aaaacyy2z3sdh6qwh3nxvnaaae,,baseline
eusilc_income,Log-equivalised total disposable household income predicted using EUSILC data (task 3.1.1) at baseline ,"Log equivalised (according to family size and composition) total disposable household monthly income predicted using EUSILC data (task 3.1.1) at baseline (either during pregnancy, or at birth, or at recruitment). The prediction model, which is cohort-specific, has been run and validated (temporal validation 2011 vs 2015 data) on the Eurostat EUSILC data. The absolute value should be interpreted as the income that a family would have had in 2011. Please refer to the methodological paper (https://www.ncbi.nlm.nih.gov/pubmed/32150940) and to the subtask 3.1.1 analysis plan (https://intranet.concentris.de/api/file/7d1aa419-2f92-31b5-aeb1-705613d05bac/download) for further details. ",false,continuous,,aaaac2iplmanp6qwhza7xqiaae,,baseline
eusilc_income_quintiles,Quintiles of the log-equivalised total disposable household income predicted using EUSILC data (task 3.1.1) at baseline ,"Quintiles of the log equivalised (according to family size and composition) total disposable household monthly income predicted using EUSILC data (task 3.1.1) at baseline (either during pregnancy, or at birth, or at recruitment). Please refer to the methodological paper (https://www.ncbi.nlm.nih.gov/pubmed/32150940) and to the subtask 3.1.1 analysis plan (https://intranet.concentris.de/api/file/7d1aa419-2f92-31b5-aeb1-705613d05bac/download) for further details.",false,categorical,eusilc_income_quintiles_options,aaaac2iplmanp6qwhza7xqiaae,,baseline
ext_age,exact age of the child (in years) when externalizing problems were recorded for ext_raw_0,Calculate age in years as (date of test assessment - date of birth)/365.2422,false,continuous,,aaaac3pytaulj6qwhza7xqiaae,,year
ext_avg,average of available items comprising the total raw score of  ext_raw_0,,false,continuous,,aaaac3pytaulj6qwhza7xqiaae,,year
ext_eval,who the test for measuring externalizing problems was administered/answered by for ext_raw_0,“computerized” (value label 4) only applies if the child perform the test with automatic results. Any computerized rating scale or questionnaire does not apply.,false,categorical,ext_eval_options,aaaac3pytaulj6qwhza7xqiaae,,year
ext_instr,Cohort-specific instrument used to measure the externalizing problems for ext_raw_0,,false,categorical,ext_instr_options,aaaac3pytaulj6qwhza7xqiaae,,year
ext_pc,"externalizing problems, percentiles of ext_pro_0",,false,continuous,,aaaac3pytaulj6qwhza7xqiaae,,year
ext_pro,total externalizing problems score after prorating ext_raw_0,,false,continuous,,aaaac3pytaulj6qwhza7xqiaae,,year
ext_raw,"externalizing problems, total raw score assessed within one year of childbirth (>0 year and <1 year)","For SDQ, combine the conduct problems and hyperactivity/inattention items.

The variable is fully harmonized if the score is based on all required items of the respective instrument. In case of score calculated using a short form of the test, please inform about it (including the items used) and categorize it as partially harmonized.",false,continuous,,aaaac3pytaulj6qwhza7xqiaae,,year
famdinner_psc,Family dinner or dinner with at least one adult (2-4 years),,false,continuous,,aaaac4cyehvsh6qwhza7xqiaae,,baseline
famdinner_sch,Family dinner or dinner with at least one adult (5-8 years),,false,continuous,,aaaac4cyewju56qwhza7xqiaae,,baseline
famsize,"Family size, adults (≥0 to <1 year)","Total numbers of adults in the same household in 1st year of life (≥0 to <1 year), preferably from same time point as when hh income recorded",false,integer,,aaaacyy23tsy56qwh3nxvnaaae,,week
fam,Parent split up (age ≥0 to <1 year),Did the parents split up during the 1st year of child´s life (age range ≥0 to <1 year),false,boolean,,aaaacyy23svon6qwh3nxvnaaae,,year
fastfood_psc,Visiting fast food restaurant (2-4 years),,false,continuous,,aaaac4cyehvsh6qwhza7xqiaae,,baseline
fastfood_sch,Visiting fast food restaurants per week (5-8 years),,false,continuous,,aaaac4cyewju56qwhza7xqiaae,,baseline
f_dbp,Father's diastolic blood pressure during pregnancy between 0-6 day of gestation (0 completed weeks),,false,continuous,,,,week
fdensity300,number of facilities present within a buffer of 300 m at birth,using the same source for all the cohorts (NAVTEQ),false,continuous,,sub_sub_folder_34,,year
fdensity300_preg,number of facilities present within a buffer of 300 m at pregnancy,using the same source for all the cohorts (NAVTEQ),false,continuous,,sub_sub_folder_34,,baseline
FEF25_abs,Forced Expiratory Flow after exhaling 25% of FVC (L/s) within one year of birth (child aged between >-1 year and <1 year),,false,continuous,,child_healthchar_resp_lungfunc_spirometry_fef25_absolute,,year
FEF50_abs,Forced Expiratory Flow after exhaling 50% of FVC (L/s) within one year of birth (child aged between >-1 year and <1 year),,false,continuous,,child_healthchar_resp_lungfunc_spirometry_fef50_absolute,,year
FEF75_abs,Forced Expiratory Flow after exhaling 75% of FVC (L/s) within one year of birth (child aged between >-1 year and <1 year),,false,continuous,,child_healthchar_resp_lungfunc_spirometry_fef75_absolute,,year
FEF75_z,"Forced Expiratory Flow after exhaling 75% of FVC, z-score according to GLI reference criteria within one year of birth (child aged between >-1 year and <1 year)",,false,continuous,,child_healthchar_resp_lungfunc_spirometry_fef75_zscore,,year
FeNO,"FeNO, in sympercent change within one year of birth (child aged between >-1 year and <1 year)",,false,continuous,,child_healthchar_resp_lungfunc_feno,,year
FEV1_abs,Forced Expiratory Volume in the first second (L) within one year of birth (child aged between >-1 year and <1 year),,false,continuous,,child_healthchar_resp_lungfunc_spirometry_fev1_absolute,,year
FEV1FVC_z,"FEV1 FVC ratio, z-score according to GLI reference criteria within one year of birth (child aged between >-1 year and <1 year)",,false,continuous,,child_healthchar_resp_lungfunc_spirometry_fev1fvc_zscore,,year
FEV1_z,"Forced Expiratotory Volume in the first second, z-score according to GLI reference criteria within one year of birth (child aged between >-1 year and <1 year)",,false,continuous,,child_healthchar_resp_lungfunc_spirometry_fev1_zscore,,year
ffish_pgn,Fatty Fish during pregnancy,Based on Eurocode 2 Food Coding System,false,continuous,,aaaac4cyara376qwhza7xqiaae,,baseline
ffish_psc,Fatty Fish in preschool age (2-4 years),,false,continuous,,aaaac4cyeeamt6qwhza7xqiaam,,baseline
ffish_sch,Fatty Fish in school-age children (5-8 years),,false,continuous,,aaaac4cyeuhdp6qwhza7xqiaae,,baseline
fish_pgn,Fish and fish products during pregnancy,Based on Eurocode 2 Food Coding System,false,continuous,,aaaac4cyara376qwhza7xqiaae,,baseline
fish_psc,Fish and fish products in  preschool age (2-4 years),,false,continuous,,aaaac4cyeeamt6qwhza7xqiaam,,baseline
fish_sch,Fish and fish products in school-age children (5-8 years),,false,continuous,,aaaac4cyeuhdp6qwhza7xqiaae,,baseline
fm_age,exact age of the child (in years) when fine motor were recorded for fm_raw_0,"Calculate age in years as
(date of test assessment - date of birth)/365.2422",false,continuous,,aaaac3pywgivt6qwhza7xqiaai,,year
fm_avg,average of available items comprising the total raw score of  fm_raw_0,,false,continuous,,aaaac3pywgivt6qwhza7xqiaai,,year
fm_eval,who the test for measuring fine motor was administered/answered by for fm_raw_0,“computerized” (value label 4) only applies if the child perform the test with automatic results. Any computerized rating scale or questionnaire does not apply.,false,categorical,fm_eval_options,aaaac3pywgivt6qwhza7xqiaai,,year
fm_instr,Cohort-specific instrument used to measure the fine motor for fm_raw_0,,false,categorical,fm_instr_options,aaaac3pywgivt6qwhza7xqiaai,,year
fm_pc,"fine motor, percentiles of fm_pro_0",,false,continuous,,aaaac3pywgivt6qwhza7xqiaai,,year
fm_pro,total fine motor score after prorating fm_raw_0,"If fine motor is measured using “computerized” test, create prorated scores equals to raw scores: fm_pro_0=fm_raw_0",false,continuous,,aaaac3pywgivt6qwhza7xqiaai,,year
fm_raw,"fine motor, total raw score assessed within one year of childbirth (>0 year and <1 year)","The variable is fully harmonized if the score is based on all required items of the respective instrument. In case of score calculated using a short form of the test, please inform about it (including the items used) and categorize it as partially harmonized",false,continuous,,aaaac3pywgivt6qwhza7xqiaai,,year
fm_std,"fine motor, standardized score of fm_pro_0",,false,continuous,,aaaac3pywgivt6qwhza7xqiaai,,year
folic,Folic acids >12 weeks.,"Intake of folic acids (folate, vitamin B9) after week 12 of pregnancy.",false,boolean,,aaaacyy2zdxxd6qwh3nxvnaaae,,trimester
folic_prepreg,Folic acids before conception,"Intake of folic acids (folate, vitamin B9) before conception",false,boolean,,aaaacyy2zdxxd6qwh3nxvnaaae,,baseline
food_all,Doctor diagnosis of food allergy within one year of birth (child aged between >-1 year and <1 year),"Where data are available, allergy should be obtained by ISAAC questionnaires. If this is not the case, the variabele is partially harmonized",false,boolean,,child_healthchar_allergy_foodallergy,,year
food_all_ever,Ever doctor diagnosis of food allergy,"Where data are available, allergy should be obtained by ISAAC questionnaires. If this is not the case, the variabele is partially harmonized",false,boolean,,child_healthchar_allergy_foodallergy,,baseline
food_all_sens_IgE,"Food allergic sensitization, measured by specific IgE within one year of birth (child aged between >-1 year and <1 year)","Were data are available, allergic sensitization should be measured by specific IgE. If this is not the case, and only total IgE is measured, the variable is partially harmonized",false,continuous,,child_healthchar_allergy_allsens_food_ige_any,,year
food_all_sens_SPT,"Food allergic sensitization, measured by skin prick test within one year of birth (child aged between >-1 year and <1 year)",,false,boolean,,child_healthchar_allergy_allsens_food_skinprick_any,,year
food_all_sens_SPT_COWMILK,"Food allergic sensitization to cowmilk, measured by skin prick test within one year of birth (child aged between >-1 year and <1 year)",,false,boolean,,child_healthchar_allergy_allsens_food_skinprick_cowmilk,,year
food_all_sens_SPT_EGG,"Food allergic sensitization to chicken egg, measured by skin prick test within one year of birth (child aged between >-1 year and <1 year)",,false,boolean,,child_healthchar_allergy_allsens_food_skinprick_chickenegg,,year
food_all_sens_SPT_FISH_cod,"Food allergic sensitization to cod fish, measured by skin prick test within one year of birth (child aged between >-1 year and <1 year)",,false,boolean,,child_healthchar_allergy_allsens_food_skinprick_fish,,year
food_all_sens_SPT_FISH_mix,"Food allergic sensitization to fish mix, measured by skin prick test within one year of birth (child aged between >-1 year and <1 year)",Please specify in online gatalogue which types of fish were included in the mix,false,boolean,,child_healthchar_allergy_allsens_food_skinprick_fish,,year
food_all_sens_SPT_FRUIT_kiw,"Food allergic sensitization to kiwi fruit, measured by skin prick test within one year of birth (child aged between >-1 year and <1 year)",,false,boolean,,child_healthchar_allergy_allsens_food_skinprick_fruit,,year
food_all_sens_SPT_FRUIT_pea,"Food allergic sensitization to peach fruit, measured by skin prick test within one year of birth (child aged between >-1 year and <1 year)",,false,boolean,,child_healthchar_allergy_allsens_food_skinprick_fruit,,year
food_all_sens_SPT_NUT_cas,"Food allergic sensitization to cashew nut, measured by skin prick test within one year of birth (child aged between >-1 year and <1 year)",,false,boolean,,child_healthchar_allergy_allsens_food_skinprick_nut,,year
food_all_sens_SPT_NUT_haz,"Food allergic sensitization to hazelnut, measured by skin prick test within one year of birth (child aged between >-1 year and <1 year)",,false,boolean,,child_healthchar_allergy_allsens_food_skinprick_nut,,year
food_all_sens_SPT_NUT_mix,"Food allergic sensitization to nut mix, measured by skin prick test within one year of birth (child aged between >-1 year and <1 year)",Please specify in online catalogue which nuts were included in the mix,false,boolean,,child_healthchar_allergy_allsens_food_skinprick_nut,,year
food_all_sens_SPT_NUT_wal,"Food allergic sensitization to walnut, measured by skin prick test within one year of birth (child aged between >-1 year and <1 year)",,false,boolean,,child_healthchar_allergy_allsens_food_skinprick_nut,,year
food_all_sens_SPT_PNT,"Food allergic sensitization to peanut, measured by skin prick test within one year of birth (child aged between >-1 year and <1 year)",,false,boolean,,child_healthchar_allergy_allsens_food_skinprick_peanut,,year
food_all_sens_SPT_SES,"Food allergic sensitization to sesame, measured by skin prick test within one year of birth (child aged between >-1 year and <1 year)",,false,boolean,,child_healthchar_allergy_allsens_food_skinprick_sesame,,year
food_all_sens_SPT_SHELL_mix,"Food allergic sensitization to shellfish mix, measured by skin prick test within one year of birth (child aged between >-1 year and <1 year)",Please specify in online catalogue which types of shellfish were included in the mix,false,boolean,,child_healthchar_allergy_allsens_food_skinprick_shellfish,,year
food_all_sens_SPT_WHEAT,"Food allergic sensitization to wheat, measured by skin prick test within one year of birth (child aged between >-1 year and <1 year)",,false,boolean,,child_healthchar_allergy_allsens_food_skinprick_wheat,,year
foodenvdens300,number of facilities related to unhealthy food divided by the area of the 300 meters buffer at birth,using the same source for all the cohorts (NAVTEQ),false,continuous,,sub_sub_folder_80,,year
foodenvdens300_preg,number of facilities related to unhealthy food divided by the area of the 300 meters buffer at pregnancy,using the same source for all the cohorts (NAVTEQ),false,continuous,,sub_sub_folder_80,,baseline
foodenvdensosm300,number of open street maps facilities related to unhealthy food divided by the area of the 300 meters buffer at birth,using the same source for all the cohorts (OPEN STREET MAPS),false,continuous,,sub_sub_folder_81,,year
foodenvdensosm300_preg,number of open street maps facilities related to unhealthy food divided by the area of the 300 meters buffer at pregnancy,using the same source for all the cohorts (OPEN STREET MAPS),false,continuous,,sub_sub_folder_81,,baseline
frichness300,number of different facility types present divided by the maximum potential number of facility types within a buffer of 300 m at birth,using the same source for all the cohorts (NAVTEQ),false,continuous,,sub_sub_folder_35,,year
frichness300_preg,number of different facility types present divided by the maximum potential number of facility types within a buffer of 300 m at pregnancy,using the same source for all the cohorts (NAVTEQ),false,continuous,,sub_sub_folder_35,,baseline
fruit_pgn,Fruits during pregnancy,Based on Eurocode 2 Food Coding System,false,continuous,,aaaac4cyara376qwhza7xqiaae,,baseline
fruit_psc,Fruits in  preschool age (2-4 years),,false,continuous,,aaaac4cyeeamt6qwhza7xqiaam,,baseline
fruit_sch,Fruits in school-age children (5-8 years),,false,continuous,,aaaac4cyeuhdp6qwhza7xqiaae,,baseline
f_sbp,Father's systolic blood pressure during pregnancy between 0-6 day of gestation (0 completed weeks),,false,continuous,,,,week
FVC_abs,Forced Vital Capacity (L) within one year of birth (child aged between >-1 year and <1 year),,false,continuous,,child_healthchar_resp_lungfunc_spirometry_fvc_absolute,,year
FVC_z,"Forced Vital Capacity, z-score according to GLI reference criteria within one year of birth (child aged between >-1 year and <1 year)",,false,continuous,,child_healthchar_resp_lungfunc_spirometry_fvc_zscore,,year
ga_bj,Gestational age (best judgement),"Best clinical judgement decided by cohorts estimating the most accurately measure of GA obtained within the cohort

Priority: (ref: CHICOS) 
1) Use LMP if difference from US is less than 7 days or if US is not available 
2) Difference between LMP and US more than 7 days --> use US 
3) If LMP is not available use US 
4) Non of them available - use maternal report.",false,integer,,aaaaczocj7ekb6qwhycgrlaaba,,baseline
ga_lmp,Gestational age (last menstrual period),"Gestational age based on last menstrual period in days

If GA is reported in weeks then recalculate: 
floor(n (weeks) x 7 + 3.5) 
Example: floor((40 weeks x 7) + 3.5) = 283",false,integer,,aaaaczocj7ekb6qwhycgrlaaba,,baseline
ga_mr,Gestational age (maternal report),"Gestational age based on maternal report

If GA is reported in weeks then recalculate: 
floor(n (weeks) x 7 + 3.5) 
Example: floor((40 weeks x 7) + 3.5) = 283",false,integer,,aaaaczocj7ekb6qwhycgrlaaba,,baseline
ga_us,Gestational age (ultrasound),"Gestational age based on ultrasound

If GA is reported in weeks then recalculate: 
floor(n (weeks) x 7 + 3.5) 
Example: floor((40 weeks x 7) + 3.5) = 283",false,integer,,aaaaczocj7ekb6qwhycgrlaaba,,baseline
glucose,Child's glucose (0 and <1 month),,false,continuous,,,,month
glucoseage,Age at glucose measurement (0 and <1 month),,false,continuous,,,,month
glucose_cord,Glucose measured in cord blood,,false,continuous,,,,baseline
glucosemes,Nonfasting or fasting when glucose measured (0 and <1 month),,false,boolean,,,,month
gm_age,exact age of the child (in years) when gross motor were recorded for gm_raw_0,"Calculate age in years as
(date of test assessment - date of birth)/365.2422",false,continuous,,aaaac3pyweyf76qwhza7xqiaae,,year
gm_avg,average of available items comprising the total raw score of  gm_raw_0,,false,continuous,,aaaac3pyweyf76qwhza7xqiaae,,year
gm_eval,who the test for measuring gross motor was administered/answered by for gm_raw_0,“computerized” (value label 4) only applies if the child perform the test with automatic results. Any computerized rating scale or questionnaire does not apply.,false,categorical,gm_eval_options,aaaac3pyweyf76qwhza7xqiaae,,year
gm_instr,Cohort-specific instrument used to measure the gross motor for gm_raw_0,,false,categorical,gm_instr_options,aaaac3pyweyf76qwhza7xqiaae,,year
gm_pc,"gross motor, percentiles of gm_pro_0",,false,continuous,,aaaac3pyweyf76qwhza7xqiaae,,year
gm_pro,total gross motor score after prorating gm_raw_0,"If gross motor is measured using “computerized” test, create prorated scores equals to raw scores: gm_pro_0=gm_raw_0",false,continuous,,aaaac3pyweyf76qwhza7xqiaae,,year
gm_raw,"gross motor, total raw score assessed within one year of childbirth (>0 year and <1 year)","The variable is fully harmonized if the score is based on all required items of the respective instrument. In case of score calculated using a short form of the test, please inform about it (including the items used) and categorize it as partially harmonized",false,continuous,,aaaac3pyweyf76qwhza7xqiaae,,year
gm_std,"gross motor, standardized score of gm_pro_0",,false,continuous,,aaaac3pyweyf76qwhza7xqiaae,,year
grain_pgn,Grains and grain products  during pregnancy,Based on Eurocode 2 Food Coding System,false,continuous,,aaaac4cyara376qwhza7xqiaae,,baseline
grain_psc,Grains and grain products in  preschool age (2-4 years),,false,continuous,,aaaac4cyeeamt6qwhza7xqiaam,,baseline
grain_sch,Grains and grain products in school-age children (5-8 years),,false,continuous,,aaaac4cyeuhdp6qwhza7xqiaae,,baseline
green_dist,"straight line distance to nearest green space > 5,000 m2 at birth",using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer),false,continuous,,sub_sub_folder_61,,year
green_dist_preg,"straight line distance to nearest green space > 5,000 m2 at pregnancy",using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer),false,continuous,,sub_sub_folder_61,,baseline
green_size,"area of closest green space > 5,000m2 at birth",using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer),false,continuous,,sub_sub_folder_63,,year
green_size_preg,"area of closest green space > 5,000m2 at pregnancy",using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer),false,continuous,,sub_sub_folder_63,,baseline
greenyn300,"is there a green space  > 5,000 m2 in a distance of 300 m? at birth",using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer),false,boolean,,sub_sub_folder_65,,year
greenyn300_preg,"is there a green space  > 5,000 m2 in a distance of 300 m? at pregnancy",using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer),false,boolean,,sub_sub_folder_65,,baseline
haem,Child's haemoglobin (0 and <1 month),,false,continuous,,,,month
haemage,Age at haemoglobin measurement (0 and <1 month),,false,continuous,,,,month
haem_cord,Haemoglobin from cord blood,,false,continuous,,,,baseline
haemmes,Nonfasting or fasting when haemoglobin measured (0 and <1 month),,false,boolean,,,,month
hba1c,Child's HbA1c (0 and <1 month),,false,continuous,,,,month
hba1cage,Age at HbA1c measurement (0 and <1 month),,false,continuous,,,,month
hba1c_cord,HbA1c measured from cord blood,,false,continuous,,,,baseline
hba1cmes,Nonfasting or fasting when HbA1c measured (0 and <1 month),,false,boolean,,,,month
hdlc,Child's HDLc (0 and <1 month),,false,continuous,,,,month
hdlcage,Age at HDLc measurement (0 and <1 month),,false,continuous,,,,month
hdlc_cord,HDLc measurd in cord blood,,false,continuous,,,,baseline
hdlcmes,Nonfasting or fasting when HDLc measured (0 and <1 month),,false,boolean,,,,month
hdres,percentage of hdres (continuous urban fabric) land use within a buffer of 300 m at birth,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer),false,continuous,,sub_sub_folder_40,,year
hdres_preg,percentage of hdres (continuous urban fabric) land use within a buffer of 300 m at pregnancy,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer),false,continuous,,sub_sub_folder_40,,baseline
headcirc,Child's head circumference (0 and <1 month),,false,continuous,,,,month
headcircage,Age at head circumference measurement (0 and <1 month),,false,continuous,,,,month
headcircmes,Measured vs. reported child head circumference (0 and <1 month),,false,boolean,,,,month
height,Child's height (0 and <1 month,Child's height measured between the ages of 0 and <1 month. This does not include the child’s birth length,false,continuous,,aaaaczock5eyb6qwhycgrlaaai,,month
height_f1_fath,"Type of father, paternal height","Variable indicating whether the height recorded in height_f1 is for the biological father, the social father, or whether this is unknown",false,categorical,height_f1_fath_options,aaaacyy22c72p6qwh3nxvnaaae,,baseline
height_m,Maternal height,Use measured height if available,false,continuous,,aaaacyy2ynhez6qwh3nxvnaaae,,baseline
heightmes,Method used to measure child's height (0 and <1 month),,false,categorical,heightmes_options,,,month
height_mes,"Height measurement, primary father",Reported vs. measured paternal height (primary father),false,categorical,height_mes_options,aaaacyy22c72p6qwh3nxvnaaae,,baseline
height_mes_m,"Height measurement, mother",Reported vs. measured maternal height,false,boolean,,aaaacyy2ynhez6qwh3nxvnaaae,,baseline
hhincome,Total yearly income of the household (age >-1 year and <1 year),"Total yearly income of the household,  within one year of birth (child aged between >-1 year and <1 year). Categorised into quartiles of low, medium-low, medium-high and high income levels based on national distribution of household yearly income

If more than household income is recorded within the defined time frame, use highest recorded household income. 

Income will be categorised into quartiles (low, medium-low, medium-high, high) based on national  distribution of household incomes in the year of follow-up.",false,categorical,hhincome_options,aaaacyy23rzj76qwh3nxvnaaae,,year
hipcirc,Child's hip circumference (0 and <1 month),,false,continuous,,,,month
hipcircage,Age at hip circumference measurement (0 and <1 month),,false,continuous,,,,month
hipcircmes,Measured vs. reported child hip circumference (0 and <1 month),,false,boolean,,,,month
hmax,average of maximum relative humidity during first year (>0 year and <=1 year),using local meteorologic stations,false,continuous,,sub_sub_folder_55,,year
hmax_preg,average of maximum relative humidity during pregnancy,using local meteorologic stations,false,continuous,,sub_sub_folder_55,,baseline
hmin,average of minimum relative humidity during first year (>0 year and <=1 year),using local meteorologic stations,false,continuous,,sub_sub_folder_54,,year
hmin_preg,average of minimum relative humidity during pregnancy,using local meteorologic stations,false,continuous,,sub_sub_folder_54,,baseline
hum,average of mean relative humidity during first year (>0 year and <=1 year),using local meteorologic stations,false,continuous,,sub_sub_folder_53,,year
hum_preg,average of mean relative humidity during pregnancy,using local meteorologic stations,false,continuous,,sub_sub_folder_53,,baseline
il6,Child's IL-6 (0 and <1 month),,false,continuous,,,,month
il6age,Age at IL-6 measurement (0 and <1 month),,false,continuous,,,,month
il6_cord,IL-6 measured in cord blood,,false,continuous,,,,baseline
il6mes,Nonfasting or fasting when IL-6 measured (0 and <1 month),,false,boolean,,,,month
